index,paras,rt_name,sl_name,fe_name,method,mean_validation_score
0,{'n_neighbors': 14},MinMax,MinMax,Identity,KNN,0.8127777777777778
1,{'n_neighbors': 20},MinMax,MinMax,Identity,KNN,0.8101851851851852
2,{'n_neighbors': 26},MinMax,MinMax,Identity,KNN,0.807962962962963
3,{'n_neighbors': 8},MinMax,MinMax,Identity,KNN,0.8064814814814815
4,{'n_neighbors': 2},MinMax,MinMax,Identity,KNN,0.7707407407407407
0,"{'priors': [0.167, 0.167, 0.167, 0.167, 0.166, 0.166]}",MinMax,MinMax,Identity,NB,0.7383333333333333
1,"{'priors': array([0.24888889, 0.21351852, 0.21203704, 0.11462963, 0.10740741,
       0.10351852])}",MinMax,MinMax,Identity,NB,0.7357407407407407
0,{'alpha': 0.00017782794100389227},MinMax,MinMax,Identity,Perceptron,0.6881481481481482
1,{'alpha': 1e-05},MinMax,MinMax,Identity,Perceptron,0.6570370370370371
2,{'alpha': 0.0031622776601683794},MinMax,MinMax,Identity,Perceptron,0.5925925925925926
3,{'alpha': 0.05623413251903491},MinMax,MinMax,Identity,Perceptron,0.28888888888888886
4,{'alpha': 1.0},MinMax,MinMax,Identity,Perceptron,0.22018518518518518
0,{'max_depth': 7},MinMax,MinMax,Identity,DT,0.7587037037037037
1,{'max_depth': 9},MinMax,MinMax,Identity,DT,0.7568518518518519
2,{'max_depth': 11},MinMax,MinMax,Identity,DT,0.7507407407407407
3,{'max_depth': 5},MinMax,MinMax,Identity,DT,0.7385185185185185
4,{'max_depth': 3},MinMax,MinMax,Identity,DT,0.6896296296296296
5,{'max_depth': 1},MinMax,MinMax,Identity,DT,0.4387037037037037
0,{'n_neighbors': 26},MinMax,MinMax,BestK1,KNN,0.7177777777777777
1,{'n_neighbors': 14},MinMax,MinMax,BestK1,KNN,0.7146296296296296
2,{'n_neighbors': 20},MinMax,MinMax,BestK1,KNN,0.7144444444444444
3,{'n_neighbors': 8},MinMax,MinMax,BestK1,KNN,0.7022222222222222
4,{'n_neighbors': 2},MinMax,MinMax,BestK1,KNN,0.6542592592592592
