index,paras,rt_name,sl_name,fe_name,method,mean_validation_score
0,"{'kernel': 'rbf', 'C': 1000.0}",Max,Identity,PCA2,SVM,0.8907407407407407
1,"{'kernel': 'rbf', 'C': 100.0}",Max,Identity,PCA2,SVM,0.8722222222222222
2,"{'kernel': 'linear', 'C': 1000.0}",Max,Identity,PCA2,SVM,0.855
3,"{'kernel': 'rbf', 'C': 10.0}",Max,Identity,PCA2,SVM,0.8544444444444445
4,"{'kernel': 'linear', 'C': 100.0}",Max,Identity,PCA2,SVM,0.8537037037037037
5,"{'kernel': 'linear', 'C': 10.0}",Max,Identity,PCA2,SVM,0.852037037037037
6,"{'kernel': 'linear', 'C': 1.0}",Max,Identity,PCA2,SVM,0.8429629629629629
7,"{'kernel': 'rbf', 'C': 1.0}",Max,Identity,PCA2,SVM,0.8377777777777777
8,"{'kernel': 'linear', 'C': 0.1}",Max,Identity,PCA2,SVM,0.8114814814814815
9,"{'kernel': 'rbf', 'C': 0.1}",Max,Identity,PCA2,SVM,0.7390740740740741
10,"{'kernel': 'linear', 'C': 0.01}",Max,Identity,PCA2,SVM,0.6742592592592592
11,"{'kernel': 'rbf', 'C': 0.01}",Max,Identity,PCA2,SVM,0.3748148148148148
12,"{'kernel': 'rbf', 'C': 0.001}",Max,Identity,PCA2,SVM,0.24888888888888888
13,"{'kernel': 'linear', 'C': 0.001}",Max,Identity,PCA2,SVM,0.24888888888888888
