NumOfFeatures,fe_name,method,metrics,paras,rt_name,sl_name,training_time
36,PCA3,KNN,0.9033333333333333,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,Identity,11.04200005531311
36,PCA3,KNN,0.9016666666666666,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,ZScore,10.861999988555908
36,Identity,KNN,0.9016666666666666,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Identity,Identity,13.491999864578247
36,Identity,KNN,0.9016666666666666,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,ZScore,13.312999963760376
36,PCA3,KNN,0.9016666666666666,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Identity,ZScore,11.390000104904175
36,Identity,KNN,0.9016666666666666,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,Identity,13.182999849319458
36,PCA3,KNN,0.9016666666666666,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Identity,Identity,9.664999961853027
36,Identity,KNN,0.9016666666666666,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Identity,ZScore,14.861000061035156
30,BestK3,KNN,0.9,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Identity,MinMax,11.055999994277954
36,Identity,KNN,0.9,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Identity,MinMax,12.638999938964844
36,PCA3,KNN,0.9,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Identity,MinMax,10.624000072479248
36,PCA3,KNN,0.9,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,MinMax,9.671000003814697
36,Identity,KNN,0.9,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,MinMax,12.745000123977661
30,BestK3,KNN,0.9,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,MinMax,11.602999925613403
6,PCA2,KNN,0.8983333333333333,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,ZScore,7.388999938964844
6,PCA2,KNN,0.8983333333333333,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,MinMax,7.577000141143799
6,PCA2,KNN,0.8983333333333333,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Identity,ZScore,7.5950000286102295
6,PCA2,KNN,0.8983333333333333,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Identity,MinMax,7.6600000858306885
30,BestK3,KNN,0.8966666666666666,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",Max,Identity,12.256999969482422
