index,paras,windows,sl_name,fe_name,method,mean_validation_score
0,{'n_neighbors': 2},0,MinMax,Identity,KNN,0.9920171339563862
1,{'n_neighbors': 8},0,MinMax,Identity,KNN,0.991822429906542
2,{'n_neighbors': 14},0,MinMax,Identity,KNN,0.9903946002076843
3,{'n_neighbors': 20},0,MinMax,Identity,KNN,0.9896157840083074
4,{'n_neighbors': 26},0,MinMax,Identity,KNN,0.9893561786085151
0,"{'priors': array([0.78589045, 0.21410955])}",0,MinMax,Identity,NB,0.9573598130841121
1,"{'priors': [0.5, 0.5]}",0,MinMax,Identity,NB,0.9525571131879543
0,{'alpha': 1e-05},0,MinMax,Identity,Perceptron,0.9755321910695742
1,{'alpha': 0.00017782794100389227},0,MinMax,Identity,Perceptron,0.9722871235721703
2,{'alpha': 0.0031622776601683794},0,MinMax,Identity,Perceptron,0.913681204569055
3,{'alpha': 0.05623413251903491},0,MinMax,Identity,Perceptron,0.8040628245067497
4,{'alpha': 1.0},0,MinMax,Identity,Perceptron,0.6715342679127726
0,{'max_depth': 9},0,MinMax,Identity,DT,0.9909138110072689
1,{'max_depth': 11},0,MinMax,Identity,DT,0.9904595015576324
2,{'max_depth': 7},0,MinMax,Identity,DT,0.9903946002076843
3,{'max_depth': 5},0,MinMax,Identity,DT,0.989291277258567
4,{'max_depth': 3},0,MinMax,Identity,DT,0.9883826583592938
5,{'max_depth': 1},0,MinMax,Identity,DT,0.9881230529595015
0,{'n_neighbors': 8},0,MinMax,BestK1,KNN,0.990978712357217
1,{'n_neighbors': 2},0,MinMax,BestK1,KNN,0.9907840083073728
2,{'n_neighbors': 14},0,MinMax,BestK1,KNN,0.989291277258567
3,{'n_neighbors': 20},0,MinMax,BestK1,KNN,0.9886422637590861
4,{'n_neighbors': 26},0,MinMax,BestK1,KNN,0.9877336448598131
0,"{'priors': array([0.78589045, 0.21410955])}",0,MinMax,BestK1,NB,0.9565809968847352
1,"{'priors': [0.5, 0.5]}",0,MinMax,BestK1,NB,0.9526869158878505
0,{'alpha': 1e-05},0,MinMax,BestK1,Perceptron,0.983515057113188
1,{'alpha': 0.0031622776601683794},0,MinMax,BestK1,Perceptron,0.9305555555555556
2,{'alpha': 0.00017782794100389227},0,MinMax,BestK1,Perceptron,0.927570093457944
3,{'alpha': 0.05623413251903491},0,MinMax,BestK1,Perceptron,0.6756879543094496
4,{'alpha': 1.0},0,MinMax,BestK1,Perceptron,0.6715342679127726
0,{'max_depth': 9},0,MinMax,BestK1,DT,0.9903946002076843
1,{'max_depth': 7},0,MinMax,BestK1,DT,0.9903296988577363
2,{'max_depth': 11},0,MinMax,BestK1,DT,0.9899402907580478
3,{'max_depth': 3},0,MinMax,BestK1,DT,0.9884475597092419
4,{'max_depth': 1},0,MinMax,BestK1,DT,0.9881230529595015
5,{'max_depth': 5},0,MinMax,BestK1,DT,0.9879283489096573
0,{'n_neighbors': 2},0,MinMax,BestK3,KNN,0.9920171339563862
1,{'n_neighbors': 8},0,MinMax,BestK3,KNN,0.991822429906542
2,{'n_neighbors': 14},0,MinMax,BestK3,KNN,0.9903946002076843
3,{'n_neighbors': 20},0,MinMax,BestK3,KNN,0.9896157840083074
4,{'n_neighbors': 26},0,MinMax,BestK3,KNN,0.9893561786085151
0,"{'priors': array([0.78589045, 0.21410955])}",0,MinMax,BestK3,NB,0.9573598130841121
1,"{'priors': [0.5, 0.5]}",0,MinMax,BestK3,NB,0.9525571131879543
0,{'alpha': 1e-05},0,MinMax,BestK3,Perceptron,0.9755321910695742
1,{'alpha': 0.00017782794100389227},0,MinMax,BestK3,Perceptron,0.9722871235721703
2,{'alpha': 0.0031622776601683794},0,MinMax,BestK3,Perceptron,0.913681204569055
3,{'alpha': 0.05623413251903491},0,MinMax,BestK3,Perceptron,0.8040628245067497
4,{'alpha': 1.0},0,MinMax,BestK3,Perceptron,0.6715342679127726
0,{'max_depth': 9},0,MinMax,BestK3,DT,0.9912383177570093
1,{'max_depth': 11},0,MinMax,BestK3,DT,0.9907191069574247
2,{'max_depth': 7},0,MinMax,BestK3,DT,0.9901998961578401
3,{'max_depth': 5},0,MinMax,BestK3,DT,0.989226375908619
4,{'max_depth': 3},0,MinMax,BestK3,DT,0.9884475597092419
5,{'max_depth': 1},0,MinMax,BestK3,DT,0.9881230529595015
0,{'n_neighbors': 2},0,MinMax,BestK2,KNN,0.9920171339563862
1,{'n_neighbors': 8},0,MinMax,BestK2,KNN,0.991822429906542
2,{'n_neighbors': 14},0,MinMax,BestK2,KNN,0.9903946002076843
3,{'n_neighbors': 20},0,MinMax,BestK2,KNN,0.9896157840083074
4,{'n_neighbors': 26},0,MinMax,BestK2,KNN,0.9893561786085151
0,"{'priors': array([0.78589045, 0.21410955])}",0,MinMax,BestK2,NB,0.9573598130841121
1,"{'priors': [0.5, 0.5]}",0,MinMax,BestK2,NB,0.9525571131879543
0,{'alpha': 1e-05},0,MinMax,BestK2,Perceptron,0.9755321910695742
1,{'alpha': 0.00017782794100389227},0,MinMax,BestK2,Perceptron,0.9722871235721703
2,{'alpha': 0.0031622776601683794},0,MinMax,BestK2,Perceptron,0.913681204569055
3,{'alpha': 0.05623413251903491},0,MinMax,BestK2,Perceptron,0.8040628245067497
4,{'alpha': 1.0},0,MinMax,BestK2,Perceptron,0.6715342679127726
0,{'max_depth': 9},0,MinMax,BestK2,DT,0.9907840083073728
1,{'max_depth': 11},0,MinMax,BestK2,DT,0.9907840083073728
2,{'max_depth': 7},0,MinMax,BestK2,DT,0.9901998961578401
3,{'max_depth': 5},0,MinMax,BestK2,DT,0.9893561786085151
4,{'max_depth': 3},0,MinMax,BestK2,DT,0.9884475597092419
5,{'max_depth': 1},0,MinMax,BestK2,DT,0.9881230529595015
0,{'n_neighbors': 2},0,MinMax,PCA1,KNN,0.9724169262720664
1,{'n_neighbors': 8},0,MinMax,PCA1,KNN,0.9691069574247144
2,{'n_neighbors': 14},0,MinMax,PCA1,KNN,0.9639797507788161
3,{'n_neighbors': 20},0,MinMax,PCA1,KNN,0.9596313603322949
4,{'n_neighbors': 26},0,MinMax,PCA1,KNN,0.9559319833852544
0,"{'priors': array([0.78589045, 0.21410955])}",0,MinMax,PCA1,NB,0.8951194184839044
1,"{'priors': [0.5, 0.5]}",0,MinMax,PCA1,NB,0.8914200415368639
0,{'alpha': 0.00017782794100389227},0,MinMax,PCA1,Perceptron,0.877466251298027
1,{'alpha': 1e-05},0,MinMax,PCA1,Perceptron,0.8735721703011423
2,{'alpha': 0.0031622776601683794},0,MinMax,PCA1,Perceptron,0.8573468328141225
3,{'alpha': 1.0},0,MinMax,PCA1,Perceptron,0.7671339563862928
4,{'alpha': 0.05623413251903491},0,MinMax,PCA1,Perceptron,0.7532450674974039
0,{'max_depth': 11},0,MinMax,PCA1,DT,0.9602803738317757
1,{'max_depth': 9},0,MinMax,PCA1,DT,0.9521677050882659
2,{'max_depth': 7},0,MinMax,PCA1,DT,0.9410695742471443
3,{'max_depth': 5},0,MinMax,PCA1,DT,0.9271806853582555
4,{'max_depth': 3},0,MinMax,PCA1,DT,0.9143302180685359
5,{'max_depth': 1},0,MinMax,PCA1,DT,0.8910955347871236
0,{'n_neighbors': 2},0,MinMax,PCA2,KNN,0.9898753894080997
1,{'n_neighbors': 8},0,MinMax,PCA2,KNN,0.9885773624091381
2,{'n_neighbors': 14},0,MinMax,PCA2,KNN,0.9865005192107996
3,{'n_neighbors': 20},0,MinMax,PCA2,KNN,0.9840342679127726
4,{'n_neighbors': 26},0,MinMax,PCA2,KNN,0.9816978193146417
0,"{'priors': [0.5, 0.5]}",0,MinMax,PCA2,NB,0.9021936656282451
1,"{'priors': array([0.78589045, 0.21410955])}",0,MinMax,PCA2,NB,0.8944055036344756
0,{'alpha': 0.00017782794100389227},0,MinMax,PCA2,Perceptron,0.9164719626168224
1,{'alpha': 1e-05},0,MinMax,PCA2,Perceptron,0.9108904465212876
2,{'alpha': 0.0031622776601683794},0,MinMax,PCA2,Perceptron,0.8613058151609554
3,{'alpha': 1.0},0,MinMax,PCA2,Perceptron,0.773104880581516
4,{'alpha': 0.05623413251903491},0,MinMax,PCA2,Perceptron,0.759929906542056
0,{'max_depth': 11},0,MinMax,PCA2,DT,0.9839693665628245
1,{'max_depth': 9},0,MinMax,PCA2,DT,0.9797507788161994
2,{'max_depth': 7},0,MinMax,PCA2,DT,0.9725467289719626
3,{'max_depth': 5},0,MinMax,PCA2,DT,0.9537902388369678
4,{'max_depth': 3},0,MinMax,PCA2,DT,0.9247144340602285
5,{'max_depth': 1},0,MinMax,PCA2,DT,0.8910955347871236
0,{'n_neighbors': 2},0,MinMax,PCA3,KNN,0.9920171339563862
1,{'n_neighbors': 8},0,MinMax,PCA3,KNN,0.991822429906542
2,{'n_neighbors': 14},0,MinMax,PCA3,KNN,0.9903946002076843
3,{'n_neighbors': 20},0,MinMax,PCA3,KNN,0.9896157840083074
4,{'n_neighbors': 26},0,MinMax,PCA3,KNN,0.9893561786085151
0,"{'priors': array([0.78589045, 0.21410955])}",0,MinMax,PCA3,NB,0.9422377985462098
1,"{'priors': [0.5, 0.5]}",0,MinMax,PCA3,NB,0.930036344755971
0,{'alpha': 1e-05},0,MinMax,PCA3,Perceptron,0.9844236760124611
1,{'alpha': 0.00017782794100389227},0,MinMax,PCA3,Perceptron,0.9784527518172378
2,{'alpha': 0.0031622776601683794},0,MinMax,PCA3,Perceptron,0.878309968847352
3,{'alpha': 1.0},0,MinMax,PCA3,Perceptron,0.7725856697819314
4,{'alpha': 0.05623413251903491},0,MinMax,PCA3,Perceptron,0.7599948078920041
0,{'max_depth': 11},0,MinMax,PCA3,DT,0.9888369678089304
1,{'max_depth': 9},0,MinMax,PCA3,DT,0.9877985462097612
2,{'max_depth': 7},0,MinMax,PCA3,DT,0.9865654205607477
3,{'max_depth': 5},0,MinMax,PCA3,DT,0.9835799584631361
4,{'max_depth': 3},0,MinMax,PCA3,DT,0.972871235721703
5,{'max_depth': 1},0,MinMax,PCA3,DT,0.8910955347871236
0,{'n_neighbors': 8},0,ZScore,Identity,KNN,0.991822429906542
1,{'n_neighbors': 2},0,ZScore,Identity,KNN,0.9917575285565939
2,{'n_neighbors': 14},0,ZScore,Identity,KNN,0.990134994807892
3,{'n_neighbors': 20},0,ZScore,Identity,KNN,0.989291277258567
4,{'n_neighbors': 26},0,ZScore,Identity,KNN,0.9888369678089304
0,"{'priors': array([0.78589045, 0.21410955])}",0,ZScore,Identity,NB,0.9573598130841121
1,"{'priors': [0.5, 0.5]}",0,ZScore,Identity,NB,0.9525571131879543
0,{'alpha': 1e-05},0,ZScore,Identity,Perceptron,0.9822170301142263
1,{'alpha': 0.00017782794100389227},0,ZScore,Identity,Perceptron,0.9803997923156802
2,{'alpha': 0.0031622776601683794},0,ZScore,Identity,Perceptron,0.9722871235721703
3,{'alpha': 0.05623413251903491},0,ZScore,Identity,Perceptron,0.8542964693665628
4,{'alpha': 1.0},0,ZScore,Identity,Perceptron,0.794457424714434
0,{'max_depth': 11},0,ZScore,Identity,DT,0.9909138110072689
1,{'max_depth': 9},0,ZScore,Identity,DT,0.9907840083073728
2,{'max_depth': 7},0,ZScore,Identity,DT,0.9903296988577363
3,{'max_depth': 5},0,ZScore,Identity,DT,0.989226375908619
4,{'max_depth': 3},0,ZScore,Identity,DT,0.9883826583592938
5,{'max_depth': 1},0,ZScore,Identity,DT,0.9881230529595015
0,{'n_neighbors': 8},0,ZScore,BestK1,KNN,0.9915628245067497
1,{'n_neighbors': 2},0,ZScore,BestK1,KNN,0.9904595015576324
2,{'n_neighbors': 14},0,ZScore,BestK1,KNN,0.9895508826583593
3,{'n_neighbors': 20},0,ZScore,BestK1,KNN,0.9887720664589823
4,{'n_neighbors': 26},0,ZScore,BestK1,KNN,0.98851246105919
0,"{'priors': array([0.78589045, 0.21410955])}",0,ZScore,BestK1,NB,0.9565809968847352
1,"{'priors': [0.5, 0.5]}",0,ZScore,BestK1,NB,0.9526869158878505
0,{'alpha': 0.00017782794100389227},0,ZScore,BestK1,Perceptron,0.983515057113188
1,{'alpha': 1e-05},0,ZScore,BestK1,Perceptron,0.9820872274143302
2,{'alpha': 0.0031622776601683794},0,ZScore,BestK1,Perceptron,0.9623572170301142
3,{'alpha': 0.05623413251903491},0,ZScore,BestK1,Perceptron,0.9168613707165109
4,{'alpha': 1.0},0,ZScore,BestK1,Perceptron,0.8031542056074766
0,{'max_depth': 9},0,ZScore,BestK1,DT,0.9905893042575286
1,{'max_depth': 7},0,ZScore,BestK1,DT,0.9903946002076843
2,{'max_depth': 11},0,ZScore,BestK1,DT,0.989291277258567
3,{'max_depth': 3},0,ZScore,BestK1,DT,0.9884475597092419
4,{'max_depth': 1},0,ZScore,BestK1,DT,0.9881230529595015
5,{'max_depth': 5},0,ZScore,BestK1,DT,0.9879283489096573
0,{'n_neighbors': 8},0,ZScore,BestK3,KNN,0.991822429906542
1,{'n_neighbors': 2},0,ZScore,BestK3,KNN,0.9917575285565939
2,{'n_neighbors': 14},0,ZScore,BestK3,KNN,0.990134994807892
3,{'n_neighbors': 20},0,ZScore,BestK3,KNN,0.989291277258567
4,{'n_neighbors': 26},0,ZScore,BestK3,KNN,0.9888369678089304
0,"{'priors': array([0.78589045, 0.21410955])}",0,ZScore,BestK3,NB,0.9573598130841121
1,"{'priors': [0.5, 0.5]}",0,ZScore,BestK3,NB,0.9525571131879543
0,{'alpha': 1e-05},0,ZScore,BestK3,Perceptron,0.9822170301142263
1,{'alpha': 0.00017782794100389227},0,ZScore,BestK3,Perceptron,0.9803997923156802
2,{'alpha': 0.0031622776601683794},0,ZScore,BestK3,Perceptron,0.9722871235721703
3,{'alpha': 0.05623413251903491},0,ZScore,BestK3,Perceptron,0.8542964693665628
4,{'alpha': 1.0},0,ZScore,BestK3,Perceptron,0.794457424714434
0,{'max_depth': 11},0,ZScore,BestK3,DT,0.9910436137071651
1,{'max_depth': 9},0,ZScore,BestK3,DT,0.9905893042575286
2,{'max_depth': 7},0,ZScore,BestK3,DT,0.990070093457944
3,{'max_depth': 5},0,ZScore,BestK3,DT,0.9893561786085151
4,{'max_depth': 3},0,ZScore,BestK3,DT,0.9884475597092419
5,{'max_depth': 1},0,ZScore,BestK3,DT,0.9881230529595015
0,{'n_neighbors': 8},0,ZScore,BestK2,KNN,0.991822429906542
1,{'n_neighbors': 2},0,ZScore,BestK2,KNN,0.9917575285565939
2,{'n_neighbors': 14},0,ZScore,BestK2,KNN,0.990134994807892
3,{'n_neighbors': 20},0,ZScore,BestK2,KNN,0.989291277258567
4,{'n_neighbors': 26},0,ZScore,BestK2,KNN,0.9888369678089304
0,"{'priors': array([0.78589045, 0.21410955])}",0,ZScore,BestK2,NB,0.9573598130841121
1,"{'priors': [0.5, 0.5]}",0,ZScore,BestK2,NB,0.9525571131879543
0,{'alpha': 1e-05},0,ZScore,BestK2,Perceptron,0.9822170301142263
1,{'alpha': 0.00017782794100389227},0,ZScore,BestK2,Perceptron,0.9803997923156802
2,{'alpha': 0.0031622776601683794},0,ZScore,BestK2,Perceptron,0.9722871235721703
3,{'alpha': 0.05623413251903491},0,ZScore,BestK2,Perceptron,0.8542964693665628
4,{'alpha': 1.0},0,ZScore,BestK2,Perceptron,0.794457424714434
0,{'max_depth': 9},0,ZScore,BestK2,DT,0.9909138110072689
1,{'max_depth': 11},0,ZScore,BestK2,DT,0.9904595015576324
2,{'max_depth': 7},0,ZScore,BestK2,DT,0.9903946002076843
