NumOfFeatures,fe_name,method,metrics,paras,sl_name,training_time,windows
4,PCA2,KNN,0.9929906542056075,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,10.996999979019165,3
10,PCA3,KNN,0.9906542056074766,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",ZScore,18.034000158309937,0
4,PCA2,KNN,0.9906542056074766,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",ZScore,11.837000131607056,0
6,BestK2,KNN,0.9906542056074766,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",ZScore,15.809000015258789,0
9,BestK3,KNN,0.9906542056074766,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",ZScore,44.36199998855591,0
10,Identity,KNN,0.9906542056074766,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",ZScore,15.139000177383423,0
4,PCA2,KNN,0.9906542056074766,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,9.794000148773193,1
10,Identity,KNN,0.990070093457944,"{'n_neighbors': 2, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,76.53900003433228,0
6,BestK2,KNN,0.990070093457944,"{'n_neighbors': 2, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,52.29699993133545,0
3,BestK1,KNN,0.990070093457944,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,52.02500009536743,0
9,BestK3,KNN,0.990070093457944,"{'n_neighbors': 2, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,42.414000034332275,0
6,BestK2,KNN,0.990070093457944,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,24.219000101089478,3
10,PCA3,KNN,0.990070093457944,"{'n_neighbors': 2, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,18.23799991607666,0
3,BestK1,KNN,0.990070093457944,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,74.14499998092651,3
3,BestK1,KNN,0.990070093457944,"{'n_neighbors': 8, 'n_jobs': 1, 'algorithm': 'kd_tree', 'metric': 'minkowski', 'metric_params': None, 'p': 2, 'weights': 'uniform', 'leaf_size': 30}",MinMax,16.401000022888184,1
