index,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,day,id,diff_Temperature,diff_Humidity,diff_Light,diff_CO2,diff_HumidityRatio
4121,20.56666667,35.86333333,260.3333333,515.3333333,0.005378325,0,2015-02-14,656.0,0.0,0.0,0.0,0.0,0.0
7289,20.89,23.1,0.0,494.0,0.003523482,0,2015-02-02,404.0,0.0,0.0,0.0,0.0,0.0
1732,21.5,28.245,0.0,570.5,0.004479449,0,2015-12-02,1147.0,0.0,0.0,0.0,0.0,0.0
513,20.29,33.2,0.0,451.0,0.004890785,0,2015-10-02,514.0,0.0,0.0,0.0,0.0,0.0
14429,19.365,30.675,81.5,435.75,0.004262574,0,2015-08-02,730.0,0.0,0.0,0.0,0.0,0.0
8895,21.39,27.1,464.0,969.0,0.004267554000000001,1,2015-03-02,589.0,0.0,0.0,0.0,0.0,0.0
7880,22.89,30.89,469.0,1386.4,0.005339048000000001,1,2015-03-02,955.0,0.0,0.0,0.0,0.0,0.0
15024,19.39,27.39,0.0,443.0,0.003809261,0,2015-08-02,1264.0,0.0,0.0,0.0,0.0,0.0
11336,22.1,26.0725,476.25,1029.5,0.004287972,1,2015-05-02,578.0,0.0,0.0,0.0,0.0,0.0
2558,22.89,24.295,624.0,1105.0,0.004191483,1,2015-12-02,593.0,0.0,0.0,0.0,0.0,0.0
1429,23.89,24.2,139.0,661.0,0.00443656,0,2015-12-02,844.0,0.0,0.0,0.0,0.0,0.0
16963,19.39,26.0,0.0,463.0,0.0036148240000000004,0,2015-09-02,444.0,0.0,0.0,0.0,0.0,0.0
13595,19.89,26.6,0.0,441.0,0.003816134,0,2015-07-02,1275.0,0.0,0.0,0.0,0.0,0.0
3593,20.96333333,24.63333333,0.0,583.6666667000001,0.003775872,0,2015-02-13,188.0,0.0,0.0,0.0,0.0,0.0
3498,20.0,33.09,0.0,507.0,0.004787100999999999,0,2015-02-13,1412.0,0.0,0.0,0.0,0.0,0.0
14887,19.29,27.7,0.0,439.0,0.003828582,0,2015-08-02,1187.0,0.0,0.0,0.0,0.0,0.0
16836,19.445,26.7,0.0,459.5,0.003725531,0,2015-09-02,317.0,0.0,0.0,0.0,0.0,0.0
5393,19.96333333,36.5,6.0,505.33333330000005,0.005272521,0,2015-02-14,548.0,0.0,0.0,0.0,0.0,0.0
12292,20.0,18.79,0.0,436.5,0.0027093209999999998,0,2015-06-02,1412.0,0.0,0.0,0.0,0.0,0.0
14547,20.675,26.4725,113.0,415.75,0.003987752,0,2015-08-02,847.0,0.0,0.0,0.0,0.0,0.0
1173,20.7,26.7,0.0,510.0,0.004028485,0,2015-12-02,48.0,0.0,0.0,0.0,0.0,0.0
17028,19.5,26.79,0.0,469.0,0.0037510509999999996,0,2015-09-02,509.0,0.0,0.0,0.0,0.0,0.0
13322,20.5,21.495,0.0,438.5,0.003199165,0,2015-07-02,1063.0,0.0,0.0,0.0,0.0,0.0
16688,19.445,26.65,0.0,468.5,0.0037185129999999997,0,2015-09-02,169.0,0.0,0.0,0.0,0.0,0.0
8349,20.89,25.5,0.0,573.6,0.003891849,0,2015-03-02,1362.0,0.0,0.0,0.0,0.0,0.0
2272,20.55,24.4,0.0,563.5,0.0036453440000000004,0,2015-12-02,308.0,0.0,0.0,0.0,0.0,0.0
7684,22.675,26.675,652.75,1028.5,0.004545053,1,2015-03-02,758.0,0.0,0.0,0.0,0.0,0.0
16348,19.39,27.06666667,0.0,465.33333330000005,0.003764022,0,2015-09-02,68.0,0.0,0.0,0.0,0.0,0.0
3995,22.5,24.9175,1021.25,577.5,0.004198397,1,2015-02-13,590.0,0.0,0.0,0.0,0.0,0.0
14901,19.5,30.1,0.0,435.5,0.00421765,0,2015-08-02,61.0,0.0,0.0,0.0,0.0,0.0
14709,19.5,27.0,24.0,426.75,0.003780633,0,2015-08-02,1010.0,0.0,0.0,0.0,0.0,0.0
14388,19.1,30.89,17.33333333,431.66666669999995,0.004221877,0,2015-08-02,689.0,0.0,0.0,0.0,0.0,0.0
