index,paras,rt_name,sl_name,fe_name,method,mean_validation_score
0,{'fit_intercept': True},MinMax,MinMax,Identity,LM,-48.61035675274884
1,{'fit_intercept': False},MinMax,MinMax,Identity,LM,-50.794927978515624
0,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,MinMax,Identity,Ridge,-48.90985862367373
1,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,MinMax,Identity,Ridge,-48.9141634632022
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,MinMax,Identity,Ridge,-49.73964785898354
3,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,MinMax,Identity,Ridge,-52.40785127151166
4,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,MinMax,Identity,Ridge,-52.429551754857755
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,MinMax,Identity,Ridge,-53.1973911920467
0,{'fit_intercept': True},MinMax,MinMax,BestK1,LM,-106.68598944706537
1,{'fit_intercept': False},MinMax,MinMax,BestK1,LM,-124.70117103415745
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,MinMax,BestK1,Ridge,-106.7149628955132
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,MinMax,BestK1,Ridge,-106.72507848048636
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,MinMax,BestK1,Ridge,-107.01301706282251
3,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,MinMax,BestK1,Ridge,-125.07789105432563
4,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,MinMax,BestK1,Ridge,-125.08466018466753
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,MinMax,BestK1,Ridge,-126.2037514195297
0,{'fit_intercept': True},MinMax,MinMax,BestK3,LM,-86.18778162001641
1,{'fit_intercept': False},MinMax,MinMax,BestK3,LM,-88.39274557614408
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,MinMax,BestK3,Ridge,-86.31603051639922
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,MinMax,BestK3,Ridge,-86.32633838841024
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,MinMax,BestK3,Ridge,-88.60480184259221
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,MinMax,BestK3,Ridge,-89.57646737220868
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,MinMax,BestK3,Ridge,-89.58625634273717
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,MinMax,BestK3,Ridge,-92.11094829316
0,{'fit_intercept': True},MinMax,MinMax,BestK2,LM,-97.41129128393388
1,{'fit_intercept': False},MinMax,MinMax,BestK2,LM,-105.33930891545455
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,MinMax,BestK2,Ridge,-97.44863649851949
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,MinMax,BestK2,Ridge,-97.49060709614783
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,MinMax,BestK2,Ridge,-98.86380785161599
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,MinMax,BestK2,Ridge,-105.81150063289213
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,MinMax,BestK2,Ridge,-105.8594764443835
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,MinMax,BestK2,Ridge,-110.29724062195814
0,{'fit_intercept': True},MinMax,MinMax,PCA1,LM,-149.13571467683934
1,{'fit_intercept': False},MinMax,MinMax,PCA1,LM,-326.55704195365547
0,"{'alpha': 1e-05, 'fit_intercept': True}",MinMax,MinMax,PCA1,Ridge,-149.1357147498393
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",MinMax,MinMax,PCA1,Ridge,-149.13573776144926
2,"{'alpha': 1.0, 'fit_intercept': True}",MinMax,MinMax,PCA1,Ridge,-149.1430135071798
3,"{'alpha': 1e-05, 'fit_intercept': False}",MinMax,MinMax,PCA1,Ridge,-326.55704202846067
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",MinMax,MinMax,PCA1,Ridge,-326.55706560914984
5,"{'alpha': 1.0, 'fit_intercept': False}",MinMax,MinMax,PCA1,Ridge,-326.56452136058084
0,{'fit_intercept': True},MinMax,MinMax,PCA2,LM,-59.54142894340568
1,{'fit_intercept': False},MinMax,MinMax,PCA2,LM,-310.63979004977756
