NumOfFeatures,fe_name,method,metrics,paras,rt_name,sl_name,training_time
450,PCA3,Ridge,0.9717791154078947,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",Identity,MinMax,3.0910000801086426
450,Identity,Ridge,0.9716589694651554,"{'normalize': False, 'fit_intercept': False, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",Identity,MinMax,3.4010000228881836
450,PCA3,Ridge,0.9715902214634089,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",Identity,Identity,3.1600000858306885
30,BestK3,Ridge,0.971222777691835,"{'normalize': False, 'fit_intercept': False, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",Identity,Identity,0.37199997901916504
450,Identity,Ridge,0.971185662526654,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.0031622776601683794, 'solver': 'lsqr'}",Identity,ZScore,3.1559998989105225
450,PCA3,Ridge,0.9711830485715419,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.0031622776601683794, 'solver': 'lsqr'}",Identity,ZScore,3.4159998893737793
450,Identity,Ridge,0.9710924931657791,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",Identity,Identity,4.0290000438690186
30,BestK3,Ridge,0.9707763589139616,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1e-05, 'solver': 'lsqr'}",Identity,ZScore,0.3169999122619629
30,BestK3,Ridge,0.970742589348234,"{'normalize': False, 'fit_intercept': False, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.0031622776601683794, 'solver': 'lsqr'}",Identity,MinMax,0.4099998474121094
30,BestK3,LM,0.9705984682981458,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,ZScore,0.12200021743774414
30,BestK3,LM,0.9705984682981458,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,MinMax,0.15799999237060547
30,BestK3,LM,0.9705965219941491,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': False}",Identity,Identity,0.11100006103515625
20,BestK2,Ridge,0.9696544980072124,"{'normalize': False, 'fit_intercept': True, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",Identity,ZScore,0.19900012016296387
450,Identity,LM,0.9695126926357892,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,ZScore,2.5910000801086426
450,Identity,LM,0.9695123035308773,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,MinMax,2.611999988555908
450,PCA3,LM,0.9695122286323047,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,MinMax,2.865999937057495
450,PCA3,LM,0.9695121319465166,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,ZScore,2.633000135421753
450,PCA3,LM,0.9695121184205637,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,Identity,2.6009998321533203
450,Identity,LM,0.969511785042829,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,Identity,2.8469998836517334
20,BestK2,LM,0.969364420309102,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': False}",Identity,Identity,0.06100010871887207
20,BestK2,LM,0.9693642118861066,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,ZScore,0.059999942779541016
20,BestK2,LM,0.9692706138305408,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': False}",Identity,MinMax,0.06299996376037598
20,BestK2,Ridge,0.9688909851944119,"{'normalize': False, 'fit_intercept': False, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",Identity,Identity,0.21300005912780762
20,BestK2,Ridge,0.9686564355496055,"{'normalize': False, 'fit_intercept': False, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.0031622776601683794, 'solver': 'lsqr'}",Identity,MinMax,0.3059999942779541
10,BestK1,Ridge,0.9641959856543515,"{'normalize': False, 'fit_intercept': False, 'max_iter': 9999, 'random_state': None, 'tol': 0.001, 'copy_X': True, 'alpha': 1.0, 'solver': 'lsqr'}",Identity,Identity,0.125
10,BestK1,LM,0.9641518377247549,"{'copy_X': True, 'normalize': False, 'n_jobs': 1, 'fit_intercept': True}",Identity,ZScore,0.04200005531311035
