IsNormalTime,Scores,indices,Team,Attempts,Corners,Offsides,Ball_Possession(%),Pass_Accuracy(%),Distance_Covered,Ball_Recovered,Yellow_Card,Red_Card,Team1_Fouls
1,2,0,ARGENTINA,26,10,0,0.72,0.92,101,40,0,0,10
1,3,1,ARGENTINA,10,5,3,0.58,0.81,101,35,3,0,15
1,3,2,ARGENTINA,8,5,2,0.66,0.84,101,40,3,0,15
1,7,3,ARGENTINA,9,4,1,0.59,0.86,96,28,5,0,15
1,3,0,AUSTRALIA,4,1,0,0.49,0.85,111,49,3,0,19
1,2,1,AUSTRALIA,14,5,0,0.51,0.85,114,42,0,0,5
1,2,2,AUSTRALIA,14,8,3,0.53,0.86,105,35,4,0,13
1,3,0,BELGIUM,15,9,1,0.61,0.89,102,41,3,0,17
1,7,1,BELGIUM,23,5,3,0.52,0.84,104,44,0,0,12
1,1,2,BELGIUM,15,2,1,0.52,0.88,106,32,2,0,14
1,5,3,BELGIUM,24,10,1,0.56,0.87,108,28,0,0,13
1,3,4,BELGIUM,8,4,0,0.43,0.83,105,35,2,0,16
1,2,5,BELGIUM,12,4,1,0.43,0.88,108,34,1,0,11
1,1,5,BELGIUM,9,5,1,0.6,0.9,102,34,3,0,16
1,2,0,BRAZIL,20,7,1,0.52,0.88,103,51,1,0,12
1,2,1,BRAZIL,23,10,3,0.66,0.9,105,42,2,0,11
1,2,2,BRAZIL,13,9,4,0.56,0.88,105,51,0,0,7
1,2,3,BRAZIL,21,8,0,0.47,0.83,92,38,2,0,6
1,3,4,BRAZIL,26,8,1,0.57,0.89,104,41,2,0,14
1,3,0,COLOMBIA,8,3,2,0.41,0.82,93,40,2,1,15
1,3,1,COLOMBIA,13,5,1,0.55,0.82,108,53,0,0,10
1,1,2,COLOMBIA,4,3,3,0.57,0.83,100,34,1,0,15
0,2,3,COLOMBIA,14,2,1,0.49,0.78,136,59,6,0,23
1,1,0,COSTA RICA,10,5,1,0.5,0.83,107,38,2,0,18
1,2,1,COSTA RICA,4,1,3,0.34,0.73,109,38,1,0,11
1,4,2,COSTA RICA,14,5,1,0.4,0.82,103,42,3,0,14
1,2,0,CROATIA,11,6,2,0.54,0.84,104,43,2,0,20
1,3,1,CROATIA,15,2,3,0.42,0.8,104,34,4,0,23
1,3,2,CROATIA,13,5,0,0.59,0.87,101,43,2,0,12
0,2,3,CROATIA,22,5,2,0.54,0.81,132,54,0,0,5
0,4,4,CROATIA,17,8,0,0.62,0.82,139,58,4,0,18
0,3,5,CROATIA,22,8,1,0.54,0.79,143,51,2,0,23
1,6,5,CROATIA,15,6,1,0.61,0.83,100,45,1,0,13
1,1,0,DENMARK,10,7,3,0.48,0.82,110,40,2,0,28
1,2,1,DENMARK,10,3,1,0.49,0.88,112,41,2,0,7
