index,Team1,Team2,Total_Scores,indices
0,RUSSIA,SAUDI ARABIA,5,0
1,EGYPT,URUGUAY,1,0
2,MOROCCO,IR IRAN,1,0
3,PORTUGAL,SPAIN,6,0
4,FRANCE,AUSTRALIA,3,0
5,ARGENTINA,ICELAND,2,0
6,PERU,DENMARK,1,0
7,CROATIA,NIGERIA,2,0
8,COSTA RICA,SERBIA,1,0
9,GERMANY,MEXICO,1,0
10,BRAZIL,SWITZERLAND,2,0
11,SWEDEN,KOREA REPUBLIC,1,0
12,BELGIUM,PANAMA,3,0
13,TUNISIA,ENGLAND,3,0
14,COLOMBIA,JAPAN,3,0
15,POLAND,SENEGAL,3,0
16,RUSSIA,EGYPT,4,1
17,PORTUGAL,MOROCCO,1,1
18,URUGUAY,SAUDI ARABIA,1,1
19,IR IRAN,SPAIN,1,1
20,DENMARK,AUSTRALIA,2,1
21,FRANCE,PERU,1,1
22,ARGENTINA,CROATIA,3,1
23,BRAZIL,COSTA RICA,2,1
24,NIGERIA,ICELAND,2,1
25,SERBIA,SWITZERLAND,3,1
26,BELGIUM,TUNISIA,7,1
27,KOREA REPUBLIC,MEXICO,3,1
28,GERMANY,SWEDEN,3,1
29,ENGLAND,PANAMA,7,1
30,JAPAN,SENEGAL,4,1
31,POLAND,COLOMBIA,3,1
32,URUGUAY,RUSSIA,3,2
33,SAUDI ARABIA,EGYPT,3,2
34,SPAIN,MOROCCO,4,2
35,IR IRAN,PORTUGAL,2,2
36,AUSTRALIA,PERU,2,2
37,DENMARK,FRANCE,0,2
38,NIGERIA,ARGENTINA,3,2
39,ICELAND,CROATIA,3,2
40,KOREA REPUBLIC,GERMANY,2,2
41,MEXICO,SWEDEN,3,2
42,SERBIA,BRAZIL,2,2
43,SWITZERLAND,COSTA RICA,4,2
44,JAPAN,POLAND,1,2
45,SENEGAL,COLOMBIA,1,2
46,PANAMA,TUNISIA,3,2
47,ENGLAND,BELGIUM,1,2
48,FRANCE,ARGENTINA,7,3
49,URUGUAY,PORTUGAL,3,3
50,SPAIN,RUSSIA,2,3
51,CROATIA,DENMARK,2,3
52,BRAZIL,MEXICO,2,3
53,BELGIUM,JAPAN,5,3
54,SWEDEN,SWITZERLAND,1,3
55,COLOMBIA,ENGLAND,2,3
56,URUGUAY,FRANCE,2,4
57,BRAZIL,BELGIUM,3,4
58,SWEDEN,ENGLAND,2,4
59,RUSSIA,CROATIA,4,4
