params,rt_name,sl_name,method,features,mean_validation_score
"{'alpha': 0.0005, 'hidden_layer_sizes': (80,)}",Identity,ZScore,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.9061111111111111
"{'alpha': 0.01, 'hidden_layer_sizes': (80,)}",Identity,ZScore,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.9057407407407407
"{'alpha': 0.001, 'hidden_layer_sizes': (80,)}",Identity,ZScore,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.9053703703703704
"{'alpha': 0.005, 'hidden_layer_sizes': (80,)}",Identity,ZScore,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.905
"{'alpha': 0.005, 'hidden_layer_sizes': (80,)}",Identity,ZScore,Neural,all,0.9033333333333333
"{'alpha': 0.001, 'hidden_layer_sizes': (80,)}",Identity,ZScore,Neural,all,0.9027777777777778
"{'alpha': 0.01, 'hidden_layer_sizes': (80,)}",Identity,ZScore,Neural,all,0.9022222222222223
"{'alpha': 0.0005, 'hidden_layer_sizes': (80,)}",Identity,ZScore,Neural,all,0.9020370370370371
"{'alpha': 0.01, 'hidden_layer_sizes': (60,)}",Identity,ZScore,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.9012962962962963
"{'alpha': 0.01, 'hidden_layer_sizes': (40,)}",Identity,ZScore,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.9007407407407407
"{'alpha': 0.01, 'hidden_layer_sizes': (40,)}",Identity,ZScore,Neural,all,0.9005555555555556
"{'alpha': 0.0005, 'hidden_layer_sizes': (40,)}",Identity,ZScore,Neural,all,0.9003703703703704
"{'alpha': 0.005, 'hidden_layer_sizes': (40,)}",Identity,ZScore,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.9003703703703704
"{'alpha': 0.0005, 'hidden_layer_sizes': (60,)}",Identity,ZScore,Neural,all,0.9001851851851852
"{'alpha': 0.005, 'hidden_layer_sizes': (60,)}",Identity,ZScore,Neural,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]",0.9001851851851852
"{'alpha': 0.001, 'hidden_layer_sizes': (40,)}",Identity,ZScore,Neural,all,0.9
