index,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
10789,10/02/2015 9:15,20.85666667,35.09666667,433.0,665.3333332999999,0.005358055,1
4582,6/02/2015 1:47,20.5,19.89,0.0,439.5,0.002959152,0
6160,7/02/2015 4:06,19.79,19.29,0.0,438.5,0.002745599,0
3339,5/02/2015 5:05,20.89,23.6,0.0,448.5,0.00360019,0
4221,5/02/2015 19:46,21.1,19.39,0.0,502.0,0.002993478,0
8752,8/02/2015 23:18,19.5,27.6,0.0,448.0,0.00386517,0
10816,11/02/2015 14:55,21.79,31.3175,434.0,1022.0,0.005060296,1
9323,9/02/2015 8:49,19.525,27.365,392.5,486.75,0.003838055,0
2419,4/02/2015 6:38,20.63333333,24.06666667,0.0,465.0,0.0036138859999999997,0
1552,3/02/2015 16:11,22.79,30.83,444.0,1363.8,0.005296118000000001,1
11883,12/02/2015 8:43,20.7,22.35666667,428.66666669999995,723.0,0.0033696140000000004,1
56,2/02/2015 15:15,23.39,28.2,454.75,1081.0,0.005021172,1
13345,13/02/2015 9:04,21.5,25.65,508.0,549.0,0.004065212,1
13841,13/02/2015 17:21,21.5,32.09,429.0,603.0,0.005094232,1
5395,6/02/2015 15:21,22.1,21.1475,499.0,893.5,0.0034734659999999997,1
1412,3/02/2015 13:51,23.2,25.7,610.2,881.3333332999998,0.0045202079999999995,1
12998,13/02/2015 3:17,20.89,24.4,0.0,583.0,0.00372296,0
4567,6/02/2015 1:33,20.39,20.2,0.0,439.0,0.002985058,0
4500,6/02/2015 0:26,20.1,21.0,0.0,444.0,0.003048442,0
9803,9/02/2015 16:49,22.1,38.845,433.0,1987.0,0.006410229,1
8710,8/02/2015 22:36,19.5,27.7,0.0,445.66666669999995,0.0038792609999999997,0
8090,8/02/2015 12:16,19.39,30.5,66.66666667,428.0,0.004244736,0
420,2/02/2015 21:19,20.89,22.956,0.0,485.2,0.003501394,0
8252,8/02/2015 14:57,20.29,26.2,48.5,418.5,0.003853207,0
8170,8/02/2015 13:36,20.7,27.6,209.0,425.0,0.0041651859999999995,0
8998,9/02/2015 3:23,19.29,26.84,0.0,472.0,0.0037090070000000003,0
8079,8/02/2015 12:04,19.29,30.7675,201.5,431.0,0.00425546,0
9199,9/02/2015 6:45,19.29,26.26,0.0,465.0,0.00362839,0
17075,15/02/2015 23:15,20.2,30.1,0.0,731.0,0.004406101,0
1235,3/02/2015 10:53,21.89,28.39,518.0,1178.6,0.004612072,1
158,2/02/2015 16:57,22.6,25.2,435.5,864.0,0.00427237,1
11412,12/02/2015 0:52,20.6,26.545,0.0,518.6666667,0.0039801820000000005,0
4392,5/02/2015 22:38,20.55,21.05,0.0,454.0,0.003142328,0
7282,7/02/2015 22:47,19.7,28.5,0.0,439.0,0.00404226,0
13632,13/02/2015 13:52,23.7,25.89,646.0,537.75,0.004694368,1
13731,13/02/2015 15:30,22.7225,28.89,484.0,569.75,0.004939775,1
2884,4/02/2015 21:29,21.5,25.84,0.0,490.0,0.004095523,0
5684,6/02/2015 20:10,20.5,19.2,0.0,467.0,0.002856025,0
595,3/02/2015 0:14,20.6,22.23,0.0,451.66666669999995,0.0033297229999999997,0
173,2/02/2015 17:12,22.575,25.075,433.0,818.25,0.00424454,1
1407,3/02/2015 13:46,23.2,25.525,587.0,869.75,0.004489207,1
5418,6/02/2015 15:43,22.1,21.365,479.0,878.25,0.003509392,1
14027,13/02/2015 20:26,20.6,31.5,0.0,513.0,0.004728788,0
4517,6/02/2015 0:42,20.2,20.89,0.0,439.0,0.003051308,0
4084,5/02/2015 17:30,22.2,24.7,433.0,938.0,0.004085752,1
6500,7/02/2015 9:46,20.79,18.815,205.5,461.66666669999995,0.0028492009999999996,0
16162,15/02/2015 8:02,20.1,31.13333333,14.0,606.0,0.004530149,0
4839,6/02/2015 6:04,20.245,18.745,0.0,433.0,0.002744279,0
13255,13/02/2015 7:34,20.89,25.745,0.0,518.0,0.003929477,0
2318,4/02/2015 4:57,20.7,24.5,0.0,465.75,0.003694578,0
2297,4/02/2015 4:36,20.7,24.5,0.0,471.5,0.003694578,0
13094,13/02/2015 4:53,20.79,24.3,0.0,579.5,0.0036847290000000003,0
12302,12/02/2015 15:42,22.6,25.7,44.0,548.5,0.004357733,0
9527,9/02/2015 12:13,21.55,33.895,479.0,1399.0,0.005399899999999999,1
11930,12/02/2015 9:29,22.315,25.075,538.5,1129.0,0.004177535,1
4562,6/02/2015 1:27,20.32333333,20.5,0.0,442.0,0.003017095,0
4353,5/02/2015 21:59,20.7,20.6,0.0,464.0,0.003103527,0
16673,15/02/2015 16:33,21.1,31.89,26.5,668.75,0.004938582,0
1949,3/02/2015 22:47,20.89,25.39,0.0,575.2,0.0038749559999999997,0
10148,9/02/2015 22:34,20.5,33.2,0.0,585.0,0.004955134,0
15559,14/02/2015 21:59,19.89,35.4,0.0,532.0,0.005088944000000001,0
14882,14/02/2015 10:41,20.29,36.29,74.0,513.0,0.005349896999999999,0
9679,9/02/2015 14:44,21.79,35.645,464.0,1471.0,0.005766018,1
263,2/02/2015 18:42,21.79,24.39,0.0,689.75,0.003933868,0
8828,9/02/2015 0:34,19.445,26.89,0.0,463.0,0.003752202,0
9889,9/02/2015 18:15,21.89,37.4,0.0,1694.0,0.006090114000000001,0
11652,12/02/2015 4:52,20.6,23.7,0.0,555.0,0.003551165,0
1254,3/02/2015 11:12,22.06,28.274,538.0,1190.4,0.00464133,1
12045,12/02/2015 11:25,24.1,22.39,267.5,921.5,0.0041549759999999995,0
9207,9/02/2015 6:53,19.29,26.2,0.0,466.5,0.0036200509999999996,0
14909,14/02/2015 11:09,20.79,35.4,128.0,509.75,0.005382441,0
1088,3/02/2015 8:26,20.79,24.79,433.0,645.25,0.003759479,1
6962,7/02/2015 17:28,20.5,21.245,0.0,439.5,0.0031617679999999997,0
3889,5/02/2015 14:15,22.2,26.05,444.0,782.0,0.00431061,1
14736,14/02/2015 8:16,19.79,37.09,0.0,507.5,0.005300713,0
13798,13/02/2015 16:38,21.79,31.2,444.0,612.0,0.005041157,1
11202,11/02/2015 21:22,20.79,29.245,0.0,488.0,0.0044399159999999995,0
