params,rt_name,sl_name,method,mean_validation_score
"{'fit_intercept': False, 'lambda_1': 180, 'normalize': True}",Identity,MinMax,BRidge,-24.962070868749166
"{'fit_intercept': False, 'lambda_1': 180, 'normalize': False}",Identity,MinMax,BRidge,-24.962070868749166
"{'fit_intercept': False, 'lambda_1': 160, 'normalize': True}",Identity,MinMax,BRidge,-24.962848075726473
"{'fit_intercept': False, 'lambda_1': 160, 'normalize': False}",Identity,MinMax,BRidge,-24.962848075726473
"{'fit_intercept': False, 'lambda_1': 200, 'normalize': False}",Identity,MinMax,BRidge,-24.97001879531647
"{'fit_intercept': False, 'lambda_1': 200, 'normalize': True}",Identity,MinMax,BRidge,-24.97001879531647
"{'fit_intercept': False, 'lambda_1': 140, 'normalize': True}",Identity,MinMax,BRidge,-24.97022862048479
"{'fit_intercept': False, 'lambda_1': 140, 'normalize': False}",Identity,MinMax,BRidge,-24.97022862048479
"{'fit_intercept': False, 'lambda_1': 120, 'normalize': False}",Identity,MinMax,BRidge,-24.981886970041217
"{'fit_intercept': False, 'lambda_1': 120, 'normalize': True}",Identity,MinMax,BRidge,-24.981886970041217
"{'fit_intercept': False, 'lambda_1': 220, 'normalize': True}",Identity,MinMax,BRidge,-24.98405416671103
"{'fit_intercept': False, 'lambda_1': 220, 'normalize': False}",Identity,MinMax,BRidge,-24.98405416671103
"{'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,MinMax,BRidge,-25.001540278280128
"{'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,MinMax,BRidge,-25.001540278280128
"{'fit_intercept': False, 'lambda_1': 240, 'normalize': True}",Identity,MinMax,BRidge,-25.002711601902522
"{'fit_intercept': False, 'lambda_1': 240, 'normalize': False}",Identity,MinMax,BRidge,-25.002711601902522
"{'fit_intercept': False, 'lambda_1': 260, 'normalize': True}",Identity,MinMax,BRidge,-25.028948191851317
"{'fit_intercept': False, 'lambda_1': 260, 'normalize': False}",Identity,MinMax,BRidge,-25.028948191851317
"{'fit_intercept': False, 'lambda_1': 280, 'normalize': True}",Identity,MinMax,BRidge,-25.05974635959884
"{'fit_intercept': False, 'lambda_1': 280, 'normalize': False}",Identity,MinMax,BRidge,-25.05974635959884
"{'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,Identity,BRidge,-25.094954461200736
"{'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,Identity,BRidge,-25.094954461200736
"{'fit_intercept': False, 'lambda_1': 300, 'normalize': False}",Identity,MinMax,BRidge,-25.0964410694205
"{'fit_intercept': False, 'lambda_1': 300, 'normalize': True}",Identity,MinMax,BRidge,-25.0964410694205
"{'fit_intercept': False, 'lambda_1': 120, 'normalize': True}",Identity,Identity,BRidge,-25.09889471532373
"{'fit_intercept': False, 'lambda_1': 120, 'normalize': False}",Identity,Identity,BRidge,-25.09889471532373
"{'fit_intercept': False, 'lambda_1': 140, 'normalize': True}",Identity,Identity,BRidge,-25.105892744799277
"{'fit_intercept': False, 'lambda_1': 140, 'normalize': False}",Identity,Identity,BRidge,-25.105892744799277
"{'fit_intercept': False, 'lambda_1': 160, 'normalize': True}",Identity,Identity,BRidge,-25.11691310365943
"{'fit_intercept': False, 'lambda_1': 160, 'normalize': False}",Identity,Identity,BRidge,-25.11691310365943
"{'fit_intercept': False, 'lambda_1': 180, 'normalize': False}",Identity,Identity,BRidge,-25.133235370665332
"{'fit_intercept': False, 'lambda_1': 180, 'normalize': True}",Identity,Identity,BRidge,-25.133235370665332
"{'fit_intercept': False, 'lambda_1': 200, 'normalize': False}",Identity,Identity,BRidge,-25.1546474238037
"{'fit_intercept': False, 'lambda_1': 200, 'normalize': True}",Identity,Identity,BRidge,-25.1546474238037
"{'fit_intercept': False, 'lambda_1': 220, 'normalize': True}",Identity,Identity,BRidge,-25.18011106084315
"{'fit_intercept': False, 'lambda_1': 220, 'normalize': False}",Identity,Identity,BRidge,-25.18011106084315
"{'fit_intercept': False, 'lambda_1': 240, 'normalize': True}",Identity,Identity,BRidge,-25.20839928832097
"{'fit_intercept': False, 'lambda_1': 240, 'normalize': False}",Identity,Identity,BRidge,-25.20839928832097
"{'fit_intercept': False, 'lambda_1': 260, 'normalize': True}",Identity,Identity,BRidge,-25.24365842413302
"{'fit_intercept': False, 'lambda_1': 260, 'normalize': False}",Identity,Identity,BRidge,-25.24365842413302
"{'fit_intercept': False, 'lambda_1': 280, 'normalize': True}",Identity,Identity,BRidge,-25.284673988664032
"{'fit_intercept': False, 'lambda_1': 280, 'normalize': False}",Identity,Identity,BRidge,-25.284673988664032
"{'fit_intercept': False, 'lambda_1': 300, 'normalize': True}",Identity,Identity,BRidge,-25.3297424937569
"{'fit_intercept': False, 'lambda_1': 300, 'normalize': False}",Identity,Identity,BRidge,-25.3297424937569
