index,paras,rt_name,sl_name,method,mean_validation_score
0,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 110, 'normalize': False}",Identity,MinMax,BRidge,-24.9975648231989
1,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 110, 'normalize': True}",Identity,MinMax,BRidge,-24.9975648231989
2,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 110, 'normalize': True}",Identity,MinMax,BRidge,-24.998406009335078
3,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 110, 'normalize': False}",Identity,MinMax,BRidge,-24.998406009335078
4,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 110, 'normalize': False}",Identity,MinMax,BRidge,-24.999248789543955
5,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 110, 'normalize': True}",Identity,MinMax,BRidge,-24.999248789543955
6,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 110, 'normalize': False}",Identity,MinMax,BRidge,-25.000087843297706
7,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 110, 'normalize': True}",Identity,MinMax,BRidge,-25.000087843297706
9,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,MinMax,BRidge,-25.008855238106168
8,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,MinMax,BRidge,-25.008855238106168
11,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,MinMax,BRidge,-25.009771618058156
10,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,MinMax,BRidge,-25.009771618058156
12,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,MinMax,BRidge,-25.01068397257167
13,"{'alpha_1': 100, 'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,MinMax,BRidge,-25.01068397257167
14,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 100, 'normalize': True}",Identity,MinMax,BRidge,-25.011607646718364
15,"{'alpha_1': 110, 'fit_intercept': False, 'lambda_1': 100, 'normalize': False}",Identity,MinMax,BRidge,-25.011607646718364
16,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 90, 'normalize': True}",Identity,MinMax,BRidge,-25.021472163849165
17,"{'alpha_1': 80, 'fit_intercept': False, 'lambda_1': 90, 'normalize': False}",Identity,MinMax,BRidge,-25.021472163849165
18,"{'alpha_1': 90, 'fit_intercept': False, 'lambda_1': 90, 'normalize': True}",Identity,MinMax,BRidge,-25.022498328516363
